building_id,site_id,building_id_kaggle,site_id_kaggle,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,hotwater,chilledwater,steam,water,irrigation,solar,gas,industry,subindustry,heatingtype,yearbuilt,date_opened,numberoffloors,occupants,energystarscore,eui,site_eui,source_eui,leed_level,rating
Panther_lodging_Amos,Panther,,0.0,Lodging/residential,Residence Hall,1337.2,14393.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,Yes,,,,1997.0,,,,,19,,,None,
Panther_education_Vincent,Panther,7.0,0.0,Education,Classroom,11248.1,121074.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,1989.0,,,,,128,,,None,
Panther_education_Shelton,Panther,8.0,0.0,Education,Classroom,5649.3,60809.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,2003.0,,,,,133,,,None,
Panther_office_Karla,Panther,9.0,0.0,Office,Office,2508.4,27000.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2010.0,,,,,120,,,Gold,
Panther_assembly_Denice,Panther,10.0,0.0,Entertainment/public assembly,Stadium,34445.9,370773.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1991.0,,,,,134,,,None,
Panther_education_Sophia,Panther,11.0,0.0,Education,Research,4559.0,49073.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1968.0,,,,,466,,,None,
Panther_lodging_Bonnie,Panther,,0.0,Lodging/residential,Residence Hall	,1290.4,13890.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,2013.0,,,,,51,,,Gold,
Panther_lodging_Willa,Panther,12.0,0.0,Lodging/residential,Residence Hall,3446.7,37100.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1999.0,,,,,162,,,None,
Panther_education_Annetta,Panther,13.0,0.0,Education,Classroom,9232.7,99380.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2000.0,,,,,95,,,None,
Panther_education_Aurora,Panther,14.0,0.0,Education,Classroom,8012.9,86250.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,Yes,,,,,,2013.0,,,,,136,,,Gold,
Panther_office_Graham,Panther,15.0,0.0,Office,Office,7799.9,83957.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,1974.0,,,,,104,,,None,
Panther_education_Karri,Panther,16.0,0.0,Education,Classroom,5076.6,54644.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,1996.0,,,,,436,,,None,
Panther_office_Valarie,Panther,17.0,0.0,Office,Office,1416.8,15250.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,1980.0,,,,,204,,,None,
Panther_education_Richard,Panther,,0.0,Education,Classroom,534.3,5751.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1976.0,,,,,65,,,None,
Panther_education_Hugh,Panther,18.0,0.0,Education,Research,10395.0,111891.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1996.0,,,,,495,,,None,
Panther_lodging_Arlene,Panther,,0.0,Lodging/residential,Residence Hall,879.8,9470.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1988.0,,,,,171,,,None,
Panther_office_Larry,Panther,19.0,0.0,Office,Office,1738.9,18717.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,2004.0,,,,,173,,,None,
Panther_education_Lacey,Panther,,0.0,Education,Classroom,337.0,3627.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1995.0,,,,,110,,,None,
Panther_education_Mohammad,Panther,20.0,0.0,Education,Classroom,10244.6,110272.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1977.0,,,,,199,,,None,
Panther_office_Jeane,Panther,21.0,0.0,Office,Office,654.3,7043.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1990.0,,,,,86,,,None,
Panther_education_Jonathan,Panther,22.0,0.0,Education,Research,331.6,3569.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1996.0,,,,,66,,,None,
Panther_education_Genevieve,Panther,23.0,0.0,Education,Classroom,12159.6,130885.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1985.0,,,,,151,,,None,
Panther_education_Alecia,Panther,24.0,0.0,Education,Classroom,9805.4,105545.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2001.0,,,,,186,,,None,
Panther_office_Jesus,Panther,25.0,0.0,Office,Office,9595.6,103286.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1969.0,,,,,28,,,None,
Panther_office_Catherine,Panther,26.0,0.0,Office,Office,2504.0,26953.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,2005.0,,,,,162,,,Gold,
Panther_lodging_Awilda,Panther,27.0,0.0,Lodging/residential,Residence Hall,5499.9,59200.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1999.0,,,,,125,,,None,
Panther_lodging_Aaron,Panther,,0.0,Lodging/residential,Residence Hall,526.0,5662.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,2013.0,,,,,70,,,Silver,
Panther_office_Garth,Panther,28.0,0.0,Office,Office,4919.9,52957.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,2016.0,,,,,73,,,Gold,
Panther_education_Quintin,Panther,29.0,0.0,Education,Classroom,10578.5,113866.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2006.0,,,,,212,,,None,
Panther_education_Teofila,Panther,30.0,0.0,Education,Classroom,8723.3,93897.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,1999.0,,,,,146,,,None,
Panther_education_Ivan,Panther,31.0,0.0,Education,Classroom,5751.1,61904.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,2001.0,,,,,202,,,None,
Panther_office_Shauna,Panther,32.0,0.0,Office,Office,4495.8,48392.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2005.0,,,,,165,,,None,
Panther_lodging_Hattie,Panther,33.0,0.0,Lodging/residential,Residence Hall,3594.0,38686.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2002.0,,,,,325,,,None,
Panther_lodging_Jana,Panther,34.0,0.0,Lodging/residential,Residence Hall,3969.8,42731.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,70,,,None,
Panther_lodging_Teresita,Panther,35.0,0.0,Lodging/residential,Residence Hall,3866.3,41617.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,61,,,None,
Panther_lodging_Cornelia,Panther,36.0,0.0,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,35,,,None,
Panther_lodging_Tracie,Panther,37.0,0.0,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2002.0,,,,,43,,,None,
Panther_office_Bryce,Panther,,0.0,Office,Office,620.1,6675.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,1998.0,,,,,8,,,None,
Panther_office_Lois,Panther,38.0,0.0,Office,Office,1186.3,12769.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2013.0,,,,,368,,,None,
Panther_office_Taryn,Panther,39.0,0.0,Office,Office,6003.3,64619.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,Yes,,,,1969.0,,,,,118,,,None,
Panther_assembly_David,Panther,40.0,0.0,Entertainment/public assembly,Stadium,2503.2,26944.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2001.0,,,,,113,,,None,
Panther_office_Kristen,Panther,41.0,0.0,Office,Office,8719.9,93860.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,Yes,,,,1968.0,,,,,562,,,None,
Panther_other_Lucina,Panther,42.0,0.0,Other,Other,21043.1,226506.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1968.0,,,,,176,,,None,
Panther_retail_Kristina,Panther,43.0,0.0,Retail,Retail,5487.9,59071.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,Yes,,,,1980.0,,,,,125,,,None,
Panther_lodging_Heather,Panther,,0.0,Lodging/residential,Residence Hall,1070.1,11518.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,1991.0,,,,,68,,,None,
Panther_lodging_Otis,Panther,,0.0,Lodging/residential,Residence Hall,461.6,4969.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1989.0,,,,,353,,,None,
Panther_lodging_Jacquelyn,Panther,,0.0,Lodging/residential,Residence Hall,1290.4,13890.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,2013.0,,,,,54,,,Gold,
Panther_lodging_Juliet,Panther,,0.0,Lodging/residential,Residence Hall,557.4,6000.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,1993.0,,,,,75,,,None,
Panther_retail_Rachel,Panther,44.0,0.0,Retail,Retail,26.3,283.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1985.0,,,,,352,,,None,
Panther_retail_Gilbert,Panther,45.0,0.0,Retail,Retail,1421.8,15304.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,2016.0,,,,,2,,,None,
Panther_retail_Lester,Panther,46.0,0.0,Retail,Retail,840.3,9045.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,2016.0,,,,,167,,,None,
Panther_retail_Felix,Panther,47.0,0.0,Retail,Retail,2941.9,31666.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2008.0,,,,,160,,,None,
Panther_other_Tyrone,Panther,48.0,0.0,Other,Other,889.0,9569.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1989.0,,,,,85,,,Gold,
Panther_lodging_Carroll,Panther,,0.0,Lodging/residential,Residence Hall,1361.2,14652.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,1994.0,,,,,548,,,None,
Panther_lodging_Paulette,Panther,,0.0,Lodging/residential,Residence Hall,351.9,3788.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1994.0,,,,,"1,515",,,None,
Panther_lodging_Alyssa,Panther,,0.0,Lodging/residential,Residence Hall,1361.2,14652.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,1994.0,,,,,3,,,None,
Panther_other_Iva,Panther,,0.0,Other,Other,255.5,2750.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,2011.0,,,,,983,,,None,
Panther_lodging_Myrtle,Panther,49.0,0.0,Lodging/residential,Residence Hall,2272.0,24456.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1968.0,,,,,204,,,None,
Panther_other_Luis,Panther,,0.0,Other,Other,494.8,5326.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,2005.0,,,,,208,,,None,
Panther_other_Bettie,Panther,50.0,0.0,Other,Other,436.5,4698.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,1981.0,,,,,"2,544",,,None,
Panther_parking_Asia,Panther,51.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,2014.0,,,,,3,,,None,
Panther_education_Edna,Panther,52.0,0.0,Education,Classroom,9896.3,106523.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1970.0,,,,,168,,,None,
Panther_office_Otto,Panther,53.0,0.0,Office,Office,8151.5,87742.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1971.0,,,,,184,,,None,
Panther_education_Violet,Panther,54.0,0.0,Education,Research,730.9,7867.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2011.0,,,,,575,,,None,
Panther_office_Christian,Panther,55.0,0.0,Office,Office,1553.9,16726.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2011.0,,,,,177,,,Gold,
Panther_lodging_Alita,Panther,56.0,0.0,Lodging/residential,Residence Hall	,5582.4,60088.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2013.0,,,,,63,,,Silver,
Panther_lodging_Edison,Panther,57.0,0.0,Lodging/residential,Residence Hall,6072.0,65359.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2013.0,,,,,75,,,None,
Panther_lodging_Sonja,Panther,58.0,0.0,Lodging/residential,Residence Hall,7746.2,83379.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2013.0,,,,,65,,,None,
Panther_assembly_Pamella,Panther,59.0,0.0,Entertainment/public assembly,Stadium,7556.5,81337.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2005.0,,,,,18,,,None,
Panther_education_Neal,Panther,60.0,0.0,Education,Classroom,7578.7,81576.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,1997.0,,,,,181,,,None,
Panther_lodging_Blaine,Panther,61.0,0.0,Lodging/residential,Residence Hall,3594.0,38686.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2001.0,,,,,299,,,None,
Panther_lodging_Floyd,Panther,62.0,0.0,Lodging/residential,Residence Hall,3969.8,42731.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2001.0,,,,,116,,,None,
Panther_lodging_Jorge,Panther,63.0,0.0,Lodging/residential,Residence Hall,3866.3,41617.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2001.0,,,,,61,,,None,
Panther_lodging_Edmond,Panther,64.0,0.0,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2001.0,,,,,38,,,None,
Panther_lodging_Kaitlin,Panther,65.0,0.0,Lodging/residential,Residence Hall,4935.9,53130.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2001.0,,,,,39,,,None,
Panther_office_Gino,Panther,,0.0,Office,Office,78.0,840.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,2000.0,,,,,7,,,None,
Panther_lodging_Fausto,Panther,66.0,0.0,Lodging/residential,Residence Hall,3459.8,37241.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1981.0,,,,,76,,,None,
Panther_lodging_Janice,Panther,67.0,0.0,Lodging/residential,Residence Hall,2272.0,24456.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,1968.0,,,,,293,,,None,
Panther_parking_Charlene,Panther,68.0,0.0,Parking,Parking Garage,45284.0,487433.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2007.0,,,,,3,,,None,
Panther_parking_Jody,Panther,69.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,2000.0,,,,,9,,,None,
Panther_parking_Mellissa,Panther,70.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,2007.0,,,,,1,,,None,
Panther_parking_Clarence,Panther,,0.0,Parking,Parking Garage,37179.8,400200.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,2011.0,,,,,8,,,None,
Panther_parking_Stanley,Panther,71.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,1998.0,,,,,5,,,None,
Panther_parking_Adela,Panther,72.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,2002.0,,,,,11,,,None,
Panther_parking_Lorriane,Panther,73.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,2008.0,,,,,8,,,None,
Panther_parking_Alaina,Panther,74.0,0.0,Parking,Parking Garage,36012.7,387638.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1997.0,,,,,3,,,None,
Panther_education_Zelda,Panther,75.0,0.0,Education,Classroom,7519.8,80942.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2010.0,,,,,92,,,Gold,
Panther_education_Jerome,Panther,76.0,0.0,Education,Research,11974.0,128887.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,Yes,,,,2009.0,,,,,515,,,Gold,
Panther_lodging_Drew,Panther,,0.0,Lodging/residential,Residence Hall,785.0,8450.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,,Yes,,,,,,1988.0,,,,,370,,,None,
Panther_lodging_Anastasia,Panther,77.0,0.0,Lodging/residential,Residence Hall,2272.0,24456.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1968.0,,,,,247,,,None,
Panther_retail_Jeanette,Panther,,0.0,Retail,Retail,1162.7,12515.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,1976.0,,,,,4,,,None,
Panther_education_Enriqueta,Panther,78.0,0.0,Education,Classroom,7084.5,76257.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,2007.0,,,,,90,,,None,
Panther_office_Lauretta,Panther,79.0,0.0,Office,Office,3366.8,36240.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2010.0,,,,,178,,,Gold,
Panther_office_Patti,Panther,80.0,0.0,Office,Office,14503.2,156111.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,2001.0,,,,,124,,,Gold,
Panther_other_Ismael,Panther,,0.0,Other,Other,364.0,3918.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,2008.0,,,,,18,,,None,
Panther_other_Bethel,Panther,81.0,0.0,Other,Other,281.0,3025.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,1979.0,,,,,"1,284",,,None,
Panther_office_Brent,Panther,82.0,0.0,Office,Office,998.1,10743.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,1974.0,,,,,100,,,None,
Panther_other_Lula,Panther,83.0,0.0,Other,Other,192.3,2070.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1996.0,,,,,21,,,None,
Panther_office_Hannah,Panther,84.0,0.0,Office,Office,375.1,4038.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1986.0,,,,,64,,,None,
Panther_lodging_Else,Panther,85.0,0.0,Lodging/residential,Residence Hall,3459.8,37241.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1981.0,,,,,77,,,None,
Panther_education_Janis,Panther,86.0,0.0,Education,Research,1015.6,10932.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,,,,,1986.0,,,,,67,,,None,
Panther_assembly_Carrol,Panther,87.0,0.0,Entertainment/public assembly,Stadium,595.7,6412.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2006.0,,,,,140,,,None,
Panther_assembly_Gwyneth,Panther,88.0,0.0,Entertainment/public assembly,Stadium,7109.6,76527.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2007.0,,,,,184,,,None,
Panther_education_Jarrett,Panther,,0.0,Education,Research,249.4,2685.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,,,,,1968.0,,,,,35,,,None,
Panther_retail_Romeo,Panther,89.0,0.0,Retail,Retail,15027.5,161755.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,Yes,,,,1996.0,,,,,258,,,None,
Panther_lodging_Gale,Panther,90.0,0.0,Lodging/residential,Residence Hall,5499.9,59200.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,1999.0,,,,,147,,,None,
Panther_education_Emily,Panther,91.0,0.0,Education,Classroom,6326.1,68094.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2003.0,,,,,164,,,None,
Panther_office_Lavinia,Panther,92.0,0.0,Office,Office,1001.4,10779.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,1970.0,,,,,101,,,None,
Panther_office_Clementine,Panther,93.0,0.0,Office,Office,3100.2,33370.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,1982.0,,,,,119,,,None,
Panther_education_Scarlett,Panther,94.0,0.0,Education,Classroom,2737.8,29469.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,Yes,,,,1968.0,,,,,84,,,None,
Panther_lodging_Georgie,Panther,,0.0,Lodging/residential,Residence Hall,1221.8,13151.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,Yes,,,,,,1990.0,,,,,89,,,None,
Panther_lodging_Kara,Panther,95.0,0.0,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,Yes,,,,,,2006.0,,,,,91,,,None,
Panther_lodging_Kirk,Panther,96.0,0.0,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,2006.0,,,,,70,,,None,
Panther_lodging_Cora,Panther,97.0,0.0,Lodging/residential,Residence Hall,17433.0,187647.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,Yes,,,,,,2007.0,,,,,151,,,None,
Panther_lodging_Marisol,Panther,98.0,0.0,Lodging/residential,Residence Hall,18667.3,200933.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,,,,,,,,2007.0,,,,,78,,,None,
Panther_office_Danica,Panther,99.0,0.0,Office,Office,210.0,2260.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2016.0,,,,,79,,,Silver,
Panther_education_Joyce,Panther,,0.0,Education,Classroom,7896.8,85000.0,28.5176885788321,-81.3790387999998,US/Eastern,,,,,Yes,,,Yes,,,,1991.0,,,,,95,,,None,
Panther_lodging_Dianna,Panther,100.0,0.0,Lodging/residential,Residence Hall,2272.0,24456.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,Yes,,,,,,1968.0,,,,,298,,,None,
Panther_office_Antonette,Panther,101.0,0.0,Office,Office,1752.2,18860.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,Yes,,,,,,1986.0,,,,,208,,,None,
Panther_office_Christin,Panther,102.0,0.0,Office,Office,1474.9,15876.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,,,,Yes,,,,1983.0,,,,,64,,,None,
Panther_education_Cleopatra,Panther,103.0,0.0,Education,Classroom,2012.0,21657.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,Yes,,Yes,,,,,,,2016.0,,,,,100,,,Gold,
Panther_office_Ruthie,Panther,104.0,0.0,Office,Office,4211.3,45330.0,28.5176885788321,-81.3790387999998,US/Eastern,Yes,,,,Yes,,,,,,,2003.0,,,,,211,,,None,
