,site_id,building_id_n,site_id_n,primaryspaceusage,sub_primaryspaceusage,sqm,timezone,eui,site_eui,source_eui
1323,Minneapolis,1154.0,13.0,Lodging/residential,Dormitory,24355.1,US/Central,129.4,188.6,130.0
1324,Minneapolis,1155.0,13.0,Warehouse/storage,Warehouse (Conditioned),1770.6,US/Central,121.2,209.7,122.0
1325,Minneapolis,1156.0,13.0,Education,College Laboratory,24153.8,US/Central,316.0,519.0,314.6
1326,Minneapolis,1157.0,13.0,Education,College Laboratory,3447.4,US/Central,688.5,954.7,672.8
1327,Minneapolis,1158.0,13.0,Public services,Library,27388.9,US/Central,83.0,148.9,82.4
1328,Minneapolis,1159.0,13.0,Office,Office,62385.0,US/Central,234.1,355.2,224.8
1329,Minneapolis,1160.0,13.0,Office,Office,7451.3,US/Central,86.1,130.7,87.0
1330,Minneapolis,1161.0,13.0,Office,Office,4931.0,US/Central,96.1,139.7,96.4
1331,Minneapolis,1162.0,13.0,Office,Office,6778.0,US/Central,54.7,91.9,53.9
1332,Minneapolis,1163.0,13.0,Parking,Parking: Enclosed Garage,7796.3,US/Central,156.8,228.8,158.9
1333,Minneapolis,1164.0,13.0,Office,Office,23175.3,US/Central,105.4,158.3,103.1
1334,Minneapolis,1165.0,13.0,Office,Office,2693.4,US/Central,103.0,158.3,102.9
1335,Minneapolis,1166.0,13.0,Office,Office,5924.5,US/Central,94.7,154.1,95.8
1336,Minneapolis,1167.0,13.0,Office,Office,4900.4,US/Central,75.9,120.0,74.5
1337,Minneapolis,1168.0,13.0,Office,Office,53614.4,US/Central,319.8,458.0,313.3
1338,Minneapolis,1169.0,13.0,Education,College Laboratory,14440.7,US/Central,367.7,594.4,362.6
1339,Minneapolis,1170.0,13.0,Office,Office,5525.5,US/Central,46.2,71.7,45.0
1340,Minneapolis,,13.0,Lodging/residential,Dormitory,16494.9,US/Central,19.5,46.1,19.5
1341,Minneapolis,1171.0,13.0,Manufacturing/industrial,Greenhouse,5281.6,US/Central,180.4,322.6,177.2
1342,Minneapolis,1172.0,13.0,Manufacturing/industrial,Greenhouse,5931.6,US/Central,322.8,556.3,326.9
1343,Minneapolis,1173.0,13.0,Manufacturing/industrial,Greenhouse,1216.2,US/Central,305.3,477.1,308.6
1344,Minneapolis,1174.0,13.0,Other,Animal Shelter,2568.6,US/Central,223.7,318.0,220.0
1345,Minneapolis,1175.0,13.0,Manufacturing/industrial,Manufacturing Facility,7559.7,US/Central,156.9,255.6,142.8
1346,Minneapolis,1176.0,13.0,Education,College Laboratory,13254.7,US/Central,101.4,149.6,99.0
1347,Minneapolis,1177.0,13.0,Office,Office,1899.3,US/Central,147.6,236.5,148.0
1348,Minneapolis,1178.0,13.0,Education,College Classroom,12362.8,US/Central,179.8,253.8,168.9
1349,Minneapolis,1179.0,13.0,Entertainment/public assembly,Gymnasium,13306.3,US/Central,142.6,145.4,140.1
1350,Minneapolis,1180.0,13.0,Education,College Laboratory,8842.7,US/Central,166.4,229.9,164.5
1351,Minneapolis,1181.0,13.0,Education,College Laboratory,5630.5,US/Central,199.6,270.3,197.3
1352,Minneapolis,1182.0,13.0,Warehouse/storage,Warehouse (Conditioned),6185.9,US/Central,85.7,160.4,85.2
1353,Minneapolis,1183.0,13.0,Entertainment/public assembly,Ice Arena,15501.4,US/Central,110.5,216.3,109.8
1354,Minneapolis,1184.0,13.0,Lodging/residential,Dormitory,6929.1,US/Central,68.7,124.3,69.5
1355,Minneapolis,1185.0,13.0,Office,Office,12033.9,US/Central,122.5,182.5,121.4
1356,Minneapolis,1186.0,13.0,Lodging/residential,Dormitory,14592.3,US/Central,120.0,190.6,121.6
1357,Minneapolis,1187.0,13.0,Office,Office,11307.6,US/Central,63.2,111.3,61.9
1358,Minneapolis,1188.0,13.0,Office,Office,3446.3,US/Central,81.8,141.0,82.0
1359,Minneapolis,,13.0,Services,Maintenance Repair Shop,7290.9,US/Central,378.7,1060.4,378.7
1360,Minneapolis,1189.0,13.0,Office,Office,9124.2,US/Central,271.9,423.9,267.2
1361,Minneapolis,1190.0,13.0,Office,Office,3698.2,US/Central,59.9,103.7,60.5
1362,Minneapolis,,13.0,Entertainment/public assembly,Gymnasium,756.4,US/Central,148.0,414.3,149.1
1363,Minneapolis,1191.0,13.0,Education,College Laboratory,17851.5,US/Central,332.9,495.2,327.3
1364,Minneapolis,1192.0,13.0,Office,Office,4049.4,US/Central,190.8,361.0,190.7
1365,Minneapolis,1193.0,13.0,Office,Office,9895.2,US/Central,118.8,167.3,119.6
1366,Minneapolis,1194.0,13.0,Office,Office,3328.6,US/Central,173.1,271.2,174.1
1367,Minneapolis,1195.0,13.0,Office,Office,1530.3,US/Central,0.0,0.0,0.0
1368,Minneapolis,1196.0,13.0,Entertainment/public assembly,Gymnasium,5314.1,US/Central,165.0,284.0,166.3
1369,Minneapolis,1197.0,13.0,Services,Maintenance Repair Shop,4696.4,US/Central,236.6,662.4,231.1
1370,Minneapolis,1198.0,13.0,Education,Student Union,7912.0,US/Central,158.3,226.2,153.9
1371,Minneapolis,,13.0,Entertainment/public assembly,Gymnasium,8872.2,US/Central,93.2,129.7,94.9
1372,Minneapolis,1199.0,13.0,Warehouse/storage,Warehouse (Unconditioned),981.0,US/Central,329.1,345.6,323.9
1373,Minneapolis,,13.0,Office,Office,18626.2,US/Central,207.3,310.7,209.6
1374,Minneapolis,1200.0,13.0,Entertainment/public assembly,Sports Arena,50664.7,US/Central,85.7,151.3,84.0
1375,Minneapolis,1201.0,13.0,Education,Auditorium,6837.4,US/Central,101.7,181.8,99.5
1376,Minneapolis,1202.0,13.0,Office,Office,1561.2,US/Central,679.7,1348.0,679.7
1377,Minneapolis,1203.0,13.0,Lodging/residential,Dormitory,12876.5,US/Central,115.0,170.0,115.7
1378,Minneapolis,1204.0,13.0,Office,Office,3565.8,US/Central,246.2,502.1,237.3
1379,Minneapolis,1205.0,13.0,Parking,Parking: Open Air Ramp,16561.8,US/Central,994.4,2784.2,959.1
1380,Minneapolis,,13.0,Office,Office,2092.9,US/Central,78.1,167.3,76.7
1381,Minneapolis,1206.0,13.0,Office,Office,9285.3,US/Central,156.8,219.2,157.2
1382,Minneapolis,1207.0,13.0,Healthcare,Hospital,6916.0,US/Central,300.9,424.0,282.6
1383,Minneapolis,1208.0,13.0,Healthcare,Hospital,11295.6,US/Central,275.7,375.7,273.3
1384,Minneapolis,1209.0,13.0,Healthcare,Hospital,10757.1,US/Central,234.3,360.6,229.9
1385,Minneapolis,1210.0,13.0,Office,Office,8593.5,US/Central,240.6,346.7,243.0
1386,Minneapolis,1211.0,13.0,Office,Office,8824.7,US/Central,87.5,130.1,88.0
1387,Minneapolis,1212.0,13.0,Public services,Library,22066.1,US/Central,283.8,497.7,282.6
1388,Minneapolis,,13.0,Parking,Parking: Open Air Ramp,49007.2,US/Central,235.0,658.1,228.3
1389,Minneapolis,1213.0,13.0,Warehouse/storage,Warehouse (Unconditioned),3666.3,US/Central,9.2,25.9,9.3
1390,Minneapolis,1214.0,13.0,Office,Office,18156.7,US/Central,242.1,350.4,235.3
1391,Minneapolis,1215.0,13.0,Parking,Parking: Enclosed Garage,9320.8,US/Central,140.4,241.3,138.2
1392,Minneapolis,1216.0,13.0,Office,Office,1418.5,US/Central,152.1,245.6,149.3
1393,Minneapolis,1217.0,13.0,Education,Auditorium,6786.0,US/Central,108.7,183.2,108.5
1394,Minneapolis,1218.0,13.0,Entertainment/public assembly,Gymnasium,24942.6,US/Central,66.8,114.3,64.2
1395,Minneapolis,1219.0,13.0,Office,Office,8483.5,US/Central,76.9,132.1,75.4
1396,Minneapolis,1220.0,13.0,Public services,Library,35416.6,US/Central,117.5,171.4,114.0
1397,Minneapolis,1221.0,13.0,Office,Office,2699.9,US/Central,27.1,63.1,25.8
1398,Minneapolis,1222.0,13.0,Lodging/residential,Dormitory,17389.0,US/Central,101.1,187.0,101.1
1505,Cornell,1325.0,15.0,Entertainment/public assembly,Gymnasium,14416.4,US/Eastern,,,
1506,Cornell,1326.0,15.0,Office,Office,4364.7,US/Eastern,,,
1507,Cornell,1327.0,15.0,Education,College Laboratory,9116.1,US/Eastern,,,
1508,Cornell,1328.0,15.0,Education,College Laboratory,25998.0,US/Eastern,,,
1509,Cornell,1329.0,15.0,Technology/science,Data Center,5583.5,US/Eastern,,,
1510,Cornell,1330.0,15.0,Education,College Laboratory,16163.5,US/Eastern,,,
1511,Cornell,1331.0,15.0,Education,College Laboratory,15887.2,US/Eastern,,,
1512,Cornell,1332.0,15.0,Education,College Classroom,4403.4,US/Eastern,,,
1513,Cornell,1333.0,15.0,Office,Office,2909.4,US/Eastern,,,
1514,Cornell,1334.0,15.0,Office,Office,12151.2,US/Eastern,,,
1515,Cornell,1335.0,15.0,Public services,Library,12710.7,US/Eastern,,,
1516,Cornell,1336.0,15.0,Office,Office,2884.9,US/Eastern,,,
1517,Cornell,1337.0,15.0,Office,Office,1369.8,US/Eastern,,,
1518,Cornell,1338.0,15.0,Education,College Classroom,2918.5,US/Eastern,,,
1519,Cornell,1339.0,15.0,Education,College Classroom,13051.8,US/Eastern,,,
1520,Cornell,1340.0,15.0,Manufacturing/industrial,Greenhouse,10360.4,US/Eastern,,,
1521,Cornell,1341.0,15.0,Education,College Laboratory,1704.0,US/Eastern,,,
1522,Cornell,1342.0,15.0,Education,College Laboratory,10856.1,US/Eastern,,,
1523,Cornell,1343.0,15.0,Office,Office,10254.6,US/Eastern,,,
1524,Cornell,1344.0,15.0,Education,College Laboratory,11660.0,US/Eastern,,,
1525,Cornell,1345.0,15.0,Education,College Laboratory,1940.7,US/Eastern,,,
1526,Cornell,1346.0,15.0,Education,College Classroom,3240.0,US/Eastern,,,
1527,Cornell,1347.0,15.0,Education,College Laboratory,29946.4,US/Eastern,,,
1528,Cornell,1348.0,15.0,Education,College Laboratory,12195.5,US/Eastern,,,
1529,Cornell,1349.0,15.0,Manufacturing/industrial,Greenhouse,735.7,US/Eastern,,,
1530,Cornell,1350.0,15.0,Education,College Laboratory,13913.3,US/Eastern,,,
1531,Cornell,1351.0,15.0,Office,Office,3772.9,US/Eastern,,,
1532,Cornell,1352.0,15.0,Office,Office,3972.1,US/Eastern,,,
1533,Cornell,1353.0,15.0,Religious worship,Religious building,2062.5,US/Eastern,,,
1534,Cornell,1354.0,15.0,Education,College Classroom,2158.3,US/Eastern,,,
1535,Cornell,1355.0,15.0,Education,College Classroom,4697.8,US/Eastern,,,
1536,Cornell,1356.0,15.0,Education,College Classroom,8477.7,US/Eastern,,,
1537,Cornell,1357.0,15.0,Office,Office,2008.4,US/Eastern,,,
1538,Cornell,1358.0,15.0,Lodging/residential,Dormitory,5707.9,US/Eastern,,,
1539,Cornell,1359.0,15.0,Education,College Classroom,11546.8,US/Eastern,,,
1540,Cornell,1360.0,15.0,Entertainment/public assembly,Theater,10361.5,US/Eastern,,,
1541,Cornell,1361.0,15.0,Education,College Laboratory,21726.6,US/Eastern,,,
1542,Cornell,1362.0,15.0,Education,Student Union,10589.8,US/Eastern,,,
1543,Cornell,1363.0,15.0,Office,Office,14672.4,US/Eastern,,,
1544,Cornell,1364.0,15.0,Utility,Services Plant,6960.5,US/Eastern,,,
1545,Cornell,1365.0,15.0,Lodging/residential,Dormitory,12046.2,US/Eastern,,,
1546,Cornell,1366.0,15.0,Office,Office,8173.3,US/Eastern,,,
1547,Cornell,1367.0,15.0,Education,College Classroom,3130.4,US/Eastern,,,
1548,Cornell,1368.0,15.0,Entertainment/public assembly,Gymnasium,18491.1,US/Eastern,,,
1549,Cornell,1369.0,15.0,Entertainment/public assembly,Conference Center,4941.9,US/Eastern,,,
1550,Cornell,1370.0,15.0,Education,Student Union,443.4,US/Eastern,,,
1551,Cornell,1371.0,15.0,Public services,Library,4698.8,US/Eastern,,,
1552,Cornell,1372.0,15.0,Education,College Laboratory,1513.3,US/Eastern,,,
1553,Cornell,1373.0,15.0,Education,College Classroom,9795.1,US/Eastern,,,
1554,Cornell,1374.0,15.0,Office,Office,14833.1,US/Eastern,,,
1555,Cornell,1375.0,15.0,Office,Office,10710.6,US/Eastern,,,
1556,Cornell,1376.0,15.0,Public services,Library,22299.1,US/Eastern,,,
1557,Cornell,1377.0,15.0,Education,College Laboratory,6930.5,US/Eastern,,,
1558,Cornell,1378.0,15.0,Education,College Laboratory,19928.2,US/Eastern,,,
1559,Cornell,1379.0,15.0,Office,Office,4603.6,US/Eastern,,,
1560,Cornell,1380.0,15.0,Education,College Laboratory,18954.9,US/Eastern,,,
1561,Cornell,1381.0,15.0,Office,Office,7861.0,US/Eastern,,,
1562,Cornell,1382.0,15.0,Public services,Library,22582.1,US/Eastern,,,
1563,Cornell,1383.0,15.0,Education,College Laboratory,9811.7,US/Eastern,,,
1564,Cornell,1384.0,15.0,Education,College Classroom,5292.6,US/Eastern,,,
1565,Cornell,1385.0,15.0,Education,College Laboratory,11568.4,US/Eastern,,,
1566,Cornell,1386.0,15.0,Entertainment/public assembly,Museum,7621.3,US/Eastern,,,
1567,Cornell,1387.0,15.0,Office,Office,17376.7,US/Eastern,,,
1568,Cornell,1388.0,15.0,Healthcare,Hospital,4223.8,US/Eastern,,,
1569,Cornell,1389.0,15.0,Entertainment/public assembly,Fitness Center,1589.0,US/Eastern,,,
1570,Cornell,1390.0,15.0,Entertainment/public assembly,Fitness Center,8696.5,US/Eastern,,,
1571,Cornell,1391.0,15.0,Entertainment/public assembly,Ice arena,6381.8,US/Eastern,,,
1572,Cornell,1392.0,15.0,Entertainment/public assembly,Fitness Center,7074.8,US/Eastern,,,
1573,Cornell,1393.0,15.0,Entertainment/public assembly,Gymnasium,14112.0,US/Eastern,,,
1574,Cornell,1394.0,15.0,Entertainment/public assembly,Gymnasium,1519.1,US/Eastern,,,
1575,Cornell,1395.0,15.0,Lodging/residential,Dormitory,9162.5,US/Eastern,,,
1576,Cornell,1396.0,15.0,Lodging/residential,Dormitory,8949.9,US/Eastern,,,
1577,Cornell,1397.0,15.0,Lodging/residential,Dormitory,1856.6,US/Eastern,,,
1578,Cornell,1398.0,15.0,Lodging/residential,Dormitory,1885.1,US/Eastern,,,
1579,Cornell,1399.0,15.0,Lodging/residential,Dormitory,15497.5,US/Eastern,,,
1580,Cornell,1400.0,15.0,Lodging/residential,Dormitory,1966.6,US/Eastern,,,
1581,Cornell,1401.0,15.0,Lodging/residential,Dormitory,15681.2,US/Eastern,,,
1582,Cornell,1402.0,15.0,Lodging/residential,Dormitory,12411.3,US/Eastern,,,
1583,Cornell,1403.0,15.0,Lodging/residential,Dormitory,7287.1,US/Eastern,,,
1584,Cornell,1404.0,15.0,Lodging/residential,Dormitory,15727.5,US/Eastern,,,
1585,Cornell,1405.0,15.0,Lodging/residential,Dormitory,13275.9,US/Eastern,,,
1586,Cornell,1406.0,15.0,Lodging/residential,Dormitory,12683.3,US/Eastern,,,
1587,Cornell,1407.0,15.0,Lodging/residential,Dormitory,7724.0,US/Eastern,,,
1588,Cornell,1408.0,15.0,Entertainment/public assembly,Community Center,2671.9,US/Eastern,,,
1589,Cornell,1409.0,15.0,Lodging/residential,Dormitory,4541.2,US/Eastern,,,
1590,Cornell,1410.0,15.0,Office,Office,1070.6,US/Eastern,,,
1591,Cornell,1411.0,15.0,Education,College Classroom,846.4,US/Eastern,,,
1592,Cornell,1412.0,15.0,Lodging/residential,Dormitory,3673.2,US/Eastern,,,
1593,Cornell,1413.0,15.0,Lodging/residential,Dormitory,6131.5,US/Eastern,,,
1594,Cornell,1414.0,15.0,Lodging/residential,Dormitory,6100.3,US/Eastern,,,
1595,Cornell,1415.0,15.0,Lodging/residential,Dormitory,3761.8,US/Eastern,,,
1596,Cornell,1416.0,15.0,Lodging/residential,Dormitory,3830.9,US/Eastern,,,
1597,Cornell,1417.0,15.0,Lodging/residential,Dormitory,3758.0,US/Eastern,,,
1598,Cornell,1418.0,15.0,Lodging/residential,Dormitory,3837.1,US/Eastern,,,
1599,Cornell,1419.0,15.0,Lodging/residential,Dormitory,3774.6,US/Eastern,,,
1600,Cornell,1420.0,15.0,Entertainment/public assembly,Community Center,8833.1,US/Eastern,,,
1601,Cornell,1421.0,15.0,Education,College Classroom,4453.2,US/Eastern,,,
1602,Cornell,1422.0,15.0,Lodging/residential,Dormitory,1846.5,US/Eastern,,,
1603,Cornell,1423.0,15.0,Lodging/residential,Dormitory,1698.0,US/Eastern,,,
1604,Cornell,1424.0,15.0,Lodging/residential,Dormitory,2239.2,US/Eastern,,,
1605,Cornell,1425.0,15.0,Utility,Services Plant,378.2,US/Eastern,,,
1606,Cornell,1426.0,15.0,Entertainment/public assembly,Sports Stadium,1435.4,US/Eastern,,,
1607,Cornell,1427.0,15.0,Education,College Classroom,16780.6,US/Eastern,,,
1608,Cornell,1428.0,15.0,Education,College Laboratory,2641.4,US/Eastern,,,
1609,Cornell,1429.0,15.0,Education,College Classroom,3758.9,US/Eastern,,,
1610,Cornell,1430.0,15.0,Office,Office,4952.0,US/Eastern,,,
1611,Cornell,1431.0,15.0,Public services,Library,10345.7,US/Eastern,,,
1612,Cornell,1432.0,15.0,Education,College Laboratory,14927.0,US/Eastern,,,
1613,Cornell,1433.0,15.0,Education,College Laboratory,2609.1,US/Eastern,,,
1614,Cornell,1434.0,15.0,Education,College Laboratory,3079.5,US/Eastern,,,
1615,Cornell,1435.0,15.0,Education,College Laboratory,887.4,US/Eastern,,,
